creationDate|tweetText|likes|retweets
2015-11-24 11:14:26|The rarest of beasts - a used rocket. Controlled landing not easy, but done right, can look easy. Check out video: https://t.co/9OypFoxZk3|5692|5871
2015-11-23 23:25:32|RT @FactsOnClimate: American companies are using a record amount of clean energy → https://t.co/J0rBqxkaIq #ActOnClimate #COP21 https://t.c…|0|707
2015-11-23 21:17:20|No more excuses. It's time to #ActOnClimate: https://t.co/XzQX5J0jpA https://t.co/9mtCVvNiLx|2837|1561
2015-11-23 19:04:56|Say you're ready for strong global efforts to #ActOnClimate—don't let climate change deniers prevent progress: https://t.co/jiAVOprWZQ|1601|693
2015-11-23 17:41:52|Get a close look inside the first-ever @OFA Organizing Director Summit: https://t.co/egN28SJ0SP|1057|250
2015-11-21 18:51:53|"RT @WhiteHouse: ""In the face of terror, we stand as one."" —@VP Biden: https://t.co/lsBGVUPAWV"|0|1104
2015-11-21 00:35:06|One year ago the President took common-sense #ImmigrationAction—but a long-term fix still hasn't come from Congress. https://t.co/gimZAaLhdw|4307|1464
2015-11-20 22:16:11|Happy birthday @VP. Here's to a great year. https://t.co/wTNdi5EPr3|7401|2061
2015-11-20 21:09:39|Getting help is easy. Check out your options and #GetCovered today: https://t.co/GdJw8C26Yn https://t.co/OAh3bawk7w|987|304
2015-11-20 19:34:52|Record-breaking temperatures in October keeps 2015 on track to be the hottest year ever: https://t.co/CplyuXjhDU|1555|1052
2015-11-20 17:57:44|Don't let climate change deniers stand in the way of global progress on climate action: https://t.co/C23ubl5JhK #ActOnClimate|1934|878
2015-11-20 16:34:27|It's crucial to #ActOnClimate—and this is just one way the Clean Power Plan is a step forward. https://t.co/ocxLx79spL|1806|746
2015-11-19 22:47:03|"""Progress isn’t guaranteed. It’s not inevitable. It’s something that has to be fought for."" —President Obama https://t.co/GhtHOQNU5u"|5313|2304
2015-11-19 20:36:53|The international community is committed to #ActOnClimate—show your support for global action: https://t.co/yQZV3HB089|1466|578
2015-11-19 17:47:05|Progress on tackling climate change is happening—and we can't go back. #ActOnClimate https://t.co/w2MLu1V6Xc|1764|667
2015-11-19 16:09:18|The health care marketplace is open—for a limited time. Now's your chance to #GetCovered. https://t.co/Zubt5iIRTh https://t.co/qA7KHMR140|1115|333
2015-11-19 02:25:35|RT @SecBurwell: In the first two weeks of Open Enrollment, more than 1M people have selected a plan thru @HealthCareGov. #GetCovered https:…|0|320
2015-11-18 23:56:54|Say you're ready for big progress in the global effort to #ActOnClimate—add your name: https://t.co/bPePodECOq|1660|591
2015-11-18 20:59:17|Hundreds of hardworking @OFA organizers came together at the #OFAFallSummit to drive their work forward—take a look: https://t.co/652zNmfJWy|804|238
2015-11-18 20:01:51|Don't let climate change deniers derail progress in the global effort to #ActOnClimate: https://t.co/mPmFhSUoSL https://t.co/AG1XQ3AyFR|1512|660
2015-11-18 16:19:08|In two weeks, nations across the globe are gathering to #ActOnClimate—this is a big deal. https://t.co/HL6q3Aj507|2087|854
2015-11-17 21:18:00|RT @OFA: Meet @GQMagazine's 2015 Man of the Year: President @BarackObama. https://t.co/HoaCoPm22s|0|437
2015-11-17 19:06:20|The U.S. has already tripled wind and solar energy since 2008. The Clean Power Plan will continue that progress. https://t.co/nRx3sbbKny|3022|1177
2015-11-17 16:30:37|The Clean Power Plan is a vital step to #ActOnClimate and improve public health. https://t.co/kJhg6FnU0M|1618|606
2015-11-16 23:25:34|Get the facts on important issues like climate change—join the OFA Truth Team: https://t.co/ounOuTRFqA|1178|402
2015-11-16 20:36:30|You might be able to get an even better health care plan. Shop around today: https://t.co/UrTpGIT1JG #GetCovered https://t.co/0xlc4VccVF|1398|465
2015-11-16 18:04:43|RT @OFA: Retweet to let your loved ones know: It's time to #GetCovered. https://t.co/647MQeh91Q|0|241
2015-11-14 17:26:33|RT @WhiteHouse: Watch the full statement from @POTUS on the attacks in Paris. https://t.co/yQThOvrdxZ|0|18890
2015-11-13 21:16:30|RT @WhiteHouse: RT if you agree: It's time to #CloseTheGap so more women have a shot at success. https://t.co/7dJl9Ki5xj #YesSheCan https:/…|0|1126
2015-11-13 19:14:48|The security of affordable health care might make you dance: https://t.co/NfKd2cDWXk #GetCovered https://t.co/CCKa5DiSPH|4875|1658
2015-11-13 17:32:06|Man-made climate change is having a big effect on global temperatures. Read more: https://t.co/ps452iI0tN #ActOnClimate|1554|880
2015-11-12 22:45:38|The fight for common-sense #ImmigrationAction isn't over. Read more: https://t.co/L8PbZAgdlL|1323|501
2015-11-12 20:46:28|RT @WhiteHouse: Watch @POTUS award the #MedalOfHonor to U.S. Army Captain Florent Groberg. https://t.co/oC6Z0wNaIj|0|658
2015-11-12 18:49:06|Read from veteran and former Federal Chief Sustainability Officer Jon Powers on why it's time to #ActOnClimate: https://t.co/ykAO114cl7|992|421
2015-11-12 16:38:51|Be covered this winter—check out your options now: https://t.co/On5W1AuV89 #GetCovered https://t.co/KZNnjQaIJE|976|317
2015-11-11 18:26:33|"""On this day and every day, we thank you."" —President Obama #VeteransDay https://t.co/nRcBslDrdh"|6375|2419
2015-11-11 16:40:48|LIVE: President Obama is honoring veterans at Arlington National Cemetery. https://t.co/IZgdqYxNZ2 #VeteransDay|2045|611
2015-11-10 23:31:25|ICYMI: The unemployment rate is now at a seven-year low. https://t.co/GV0CqiLHBP|1862|845
2015-11-10 22:07:06|Make sure to check this off your list: https://t.co/obg1pKy0Bk #GetCovered https://t.co/I17bWv0MDt|980|298
2015-11-10 20:16:54|President Obama explains why the #TPP is good for American workers and the middle class: https://t.co/haLcmPkkIg|807|290
2015-11-10 00:23:38|RT @OFA: WATCH: Words of advice from the Organizer-in-Chief at the #OFAFallSummit. https://t.co/oEbB5EoE6t|0|322
2015-11-09 22:09:46|"""I'm going to keep on going as long as you'll have me."" —President Obama to @OFA volunteers #OFAFallSummit"|1792|516
2015-11-09 22:08:40|"""I need you to stay involved. I need you to stay active."" —President Obama #OFAFallSummit"|1428|421
2015-11-09 22:07:34|"""I may only hold this office for the next 14 months, but I'm not going anywhere."" —President Obama #OFAFallSummit"|2757|892
2015-11-09 22:06:32|"""When the cynics tell us we can't change this country for the better, we know they're wrong. We've got proof."" —President Obama"|2435|807
2015-11-09 22:05:28|"""We've still got our work cut out for us to fix the broken immigration system."" —President Obama #OFAFallSummit"|1024|327
2015-11-09 22:04:26|"""Your organizing skills are more important than ever.""—President Obama #OFAFallSummit"|803|275
2015-11-09 22:03:05|"""You know we've got more work to do. You wouldn't be here if you didn't think we have more work to do.""—President Obama #OFAFallSummit"|829|286
2015-11-09 22:02:16|"""Even as our economy is growing, America's cut our carbon pollution more than any other advanced nation on Earth."" —President Obama"|1120|395
2015-11-09 22:01:25|"""We've covered 17.6 million Americans so far, and in the process the deficit's been cut by two-thirds."" —President Obama #OFAFallSummit"|869|287
2015-11-09 22:00:14|"""We've seen the longest streak of private-sector job creation on record—that happened because of you."" —President Obama #OFAFallSummit"|774|263
2015-11-09 21:59:12|"""You figure out what's important in your communities and you organize around it.""—President Obama at the #OFAFallSummit"|695|254
2015-11-09 21:57:35|"""You be the change you want to come about.""—President Obama #OFAFallSummit"|1066|517
2015-11-09 21:56:37|"""Together, we created a movement for change that couldn't be denied.""—President Obama #OFAFallSummit"|801|315
2015-11-09 21:54:08|"""It's always good to be with OFA. It's a little bit like coming home.""—President Obama #OFAFallSummit"|643|177
2015-11-09 21:51:13|LIVE: President Obama is speaking to @OFA volunteers at the #OFAFallSummit. https://t.co/Ao84Izvixv|502|153
2015-11-09 21:40:23|"""It was never about yes he can—it was about yes we can."" —@Simas44 #OFAFallSummit"|1058|400
2015-11-09 19:49:37|RT @OFA: The #OFAFallSummit with @BarackObama is about to kick off. Follow along. https://t.co/O8A2QHT1Zm|0|127
2015-11-07 18:29:27|"""For the first time, more than 90% of Americans are covered."" —President Obama https://t.co/oEk3RYamsm #GetCovered"|2591|1003
2015-11-07 16:58:54|In the weekly address, President Obama discusses why it's so important to #GetCovered: https://t.co/tx19WZPV6u|956|284
2015-11-06 22:20:21|"RT @WhiteHouse: ""If we want to prevent the worst effects of climate change before it’s too late, the time to act is now."" —@POTUS https://t…"|0|1570
2015-11-06 20:47:06|Retweet if you support American leadership on climate change. #ActOnClimate https://t.co/nzUDGeuE7v|3665|4016
2015-11-06 17:53:43|The President just rejected #KeystoneXL. Add your name to support strong action on climate change: https://t.co/UQ4n60s4fw #ActOnClimate|2130|958
2015-11-06 17:12:19|"""If we want to prevent the worst effects of climate change before it's too late, the time to act is now."" —President Obama #ActOnClimate"|3124|1737
2015-11-06 17:09:25|"""Shipping crude oil into our country would not increase America's energy security."" —President Obama #KeystoneXL"|1326|521
2015-11-06 17:08:13|"""Today, in 41 states, drivers can find at least one gas station selling gas for less than $2 a gallon."" —President Obama #KeystoneXL"|1900|812
2015-11-06 17:07:00|"""In fact, gas prices have already been falling, steadily."" —President Obama on rejecting the #KeystoneXL"|1177|390
2015-11-06 17:05:44|"""The pipeline would not lower gas prices for American consumers."" —President Obama on rejecting the #KeystoneXL"|1157|455
2015-11-06 17:04:02|"""If Congress is serious about wanting to create jobs, this was not the way to do it."" —President Obama on rejecting the #KeystoneXL"|1422|636
2015-11-06 17:02:47|"""The pipeline would not make a meaningful, long-term contribution to our economy."" —President Obama on rejecting the #KeystoneXL"|1804|754
2015-11-06 16:59:52|BREAKING: President Obama just took another huge step to #ActOnClimate by rejecting the #KeystoneXL pipeline.|4132|2576
2015-11-06 16:58:43|LIVE: President Obama is delivering a statement. https://t.co/BprUPFQ9DJ|522|199
2015-11-06 15:52:47|The economy added 271,000 jobs in October—a record-breaking 68 consecutive months of private-sector job growth.|1873|907
2015-11-05 22:16:32|The #TPP eliminates 18,000 taxes that other countries put on American goods. https://t.co/VMPIrGn2Mf #LeadOnTrade|701|306
2015-11-05 20:53:16|More American-made exports means more higher-paying jobs at home: https://t.co/FNGnIEzgUx #TPP https://t.co/vIKb91bB02|924|314
2015-11-05 19:36:40|"""When we have a level playing field, Americans out-compete anyone in the world."" —President Obama https://t.co/xShwzu6OQF #LeadOnTrade"|849|286
2015-11-05 17:04:39|"RT @WhiteHouse: President Obama's trade deal is a big win for American workers.
Read the text → https://t.co/DxG2mXmXoR #TPP https://t.co/v…"|0|326
2015-11-05 14:47:54|Negotiations on the #TPP are complete, and the full text is now available online. Find out more: https://t.co/A6WiTdMOXp #LeadOnTrade|810|450
2015-11-04 22:10:37|More than two dozen states and cities are fighting to #ActOnClimate by defending the Clean Power Plan: https://t.co/0k5rMve0WP|1300|455
2015-11-04 18:19:41|Finding a plan that fits your needs is easy. Check out your options and #GetCovered: https://t.co/1McmRF5opi https://t.co/xX0cVzJgxb|1071|340
2015-11-04 17:15:15|A vocal minority could still derail the bipartisan budget deal—don't let that happen. Show your support: https://t.co/ze6XlKvLWa|855|309
2015-11-03 22:38:08|Get an update on issues that matter, from gun violence prevention to health care enrollment: https://t.co/Nyp6KzliFv|966|366
2015-11-03 20:20:17|RT @OFA: Great news: Montana just became the 30th state to put #PeopleOverPolitics and expand Medicaid. https://t.co/hwQM1YJnID|0|235
2015-11-03 16:56:40|The marketplace is open again—shop around and find a plan that works for you: https://t.co/HeXYqOqu2g #GetCovered https://t.co/g8MCjKtsEj|1119|396
2015-11-02 23:17:26|Working hard in America shouldn't mean choosing between a paycheck and a sick kid at home. #LeadOnLeave https://t.co/Y4risUgFzH|2629|1242
2015-11-02 21:16:04|LIVE: President Obama is speaking about the re-entry process of formerly incarcerated individuals. https://t.co/2RfSaJJ0hx|800|358
2015-11-02 20:30:01|Tune in at 4:20 p.m. ET to watch President Obama speak on rehabilitation and reintegration: https://t.co/X1CmRvumbO #CriminalJusticeReform|728|323
2015-11-02 18:42:35|Here's what happened when 35 passionate student organizers came together to learn how to improve their impact: https://t.co/3wRfGGGMQE|777|304
2015-11-02 16:48:39|Under #Obamacare, the uninsured rate in the United States is at the lowest level on record. https://t.co/JclMvADTnN|1296|507
2015-11-01 21:56:28|Nearly 8 in 10 uninsured Americans may be eligible for financial help. Check out your options: https://t.co/mJtVbt1ba5 #GetReadyGetCovered|895|419
2015-11-01 21:04:20|Open enrollment is back: https://t.co/DCGSKXPVzi #GetReadyGetCovered https://t.co/zACudz9e7c|781|354
